filepath,happy,surprise,sad,angry,disgust,fear
/archive/test/angry/PrivateTest_1862370.jpg,0.00,0.00,0.00,0.00,0.00,1.00
/archive/test/angry/PrivateTest_19041965.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_19160467.jpg,0.01,0.00,0.46,0.00,0.00,0.53
/archive/test/angry/PrivateTest_19212977.jpg,0.00,0.02,0.14,0.45,0.12,0.27
/archive/test/angry/PrivateTest_19666123.jpg,0.16,0.00,0.00,0.82,0.00,0.02
/archive/test/angry/PrivateTest_19777137.jpg,0.01,0.07,0.00,0.00,0.00,0.92
/archive/test/angry/PrivateTest_19839459.jpg,0.05,0.00,0.76,0.08,0.00,0.10
/archive/test/angry/PrivateTest_19907331.jpg,0.01,0.00,0.04,0.71,0.00,0.23
/archive/test/angry/PrivateTest_20062601.jpg,0.00,0.00,0.00,0.92,0.00,0.08
/archive/test/angry/PrivateTest_20304950.jpg,0.04,0.00,0.00,0.96,0.00,0.00
/archive/test/angry/PrivateTest_20306434.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_20431702.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_20571365.jpg,0.01,0.99,0.00,0.00,0.00,0.01
/archive/test/angry/PrivateTest_20588149.jpg,0.01,0.00,0.86,0.00,0.00,0.13
/archive/test/angry/PrivateTest_20789399.jpg,0.01,0.00,0.02,0.72,0.00,0.25
/archive/test/angry/PrivateTest_20887918.jpg,0.25,0.00,0.09,0.62,0.00,0.04
/archive/test/angry/PrivateTest_20953901.jpg,0.01,0.00,0.75,0.02,0.00,0.22
/archive/test/angry/PrivateTest_21042434.jpg,0.01,0.00,0.00,0.00,0.00,0.98
/archive/test/angry/PrivateTest_21230097.jpg,0.00,0.02,0.16,0.46,0.02,0.33
/archive/test/angry/PrivateTest_21734875.jpg,0.05,0.00,0.55,0.38,0.00,0.03
/archive/test/angry/PrivateTest_22091765.jpg,0.00,0.92,0.00,0.00,0.00,0.07
/archive/test/angry/PrivateTest_22126718.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_22203098.jpg,0.04,0.00,0.00,0.96,0.00,0.00
/archive/test/angry/PrivateTest_22419133.jpg,0.00,0.00,0.00,0.01,0.00,0.99
/archive/test/angry/PrivateTest_22793925.jpg,0.01,0.00,0.06,0.00,0.00,0.93
/archive/test/angry/PrivateTest_22908984.jpg,0.00,0.00,0.00,0.38,0.33,0.30
/archive/test/angry/PrivateTest_23120934.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_23190617.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_2328297.jpg,0.01,0.01,0.56,0.03,0.00,0.39
/archive/test/angry/PrivateTest_23751697.jpg,0.13,0.00,0.18,0.60,0.00,0.09
/archive/test/angry/PrivateTest_24139016.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_24550940.jpg,0.00,0.00,0.00,0.85,0.00,0.15
/archive/test/angry/PrivateTest_24569157.jpg,0.80,0.00,0.00,0.20,0.00,0.00
/archive/test/angry/PrivateTest_24606826.jpg,0.12,0.00,0.00,0.87,0.00,0.00
/archive/test/angry/PrivateTest_24760870.jpg,0.01,0.00,0.87,0.00,0.00,0.11
/archive/test/angry/PrivateTest_25146065.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_25332527.jpg,0.00,0.00,0.00,0.46,0.00,0.54
/archive/test/angry/PrivateTest_25803660.jpg,0.00,0.00,0.00,0.96,0.00,0.03
/archive/test/angry/PrivateTest_25922801.jpg,0.00,0.00,0.00,0.57,0.00,0.43
/archive/test/angry/PrivateTest_25924075.jpg,0.08,0.00,0.11,0.67,0.00,0.14
/archive/test/angry/PrivateTest_26149470.jpg,0.02,0.00,0.37,0.51,0.00,0.09
/archive/test/angry/PrivateTest_2642370.jpg,0.00,0.00,0.25,0.16,0.03,0.56
/archive/test/angry/PrivateTest_26530508.jpg,0.25,0.00,0.00,0.75,0.00,0.00
/archive/test/angry/PrivateTest_26560060.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_26784100.jpg,0.01,0.00,0.00,0.74,0.00,0.25
/archive/test/angry/PrivateTest_26910183.jpg,0.00,0.00,0.01,0.60,0.00,0.39
/archive/test/angry/PrivateTest_27063807.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_27211238.jpg,0.84,0.00,0.13,0.03,0.00,0.00
/archive/test/angry/PrivateTest_27212219.jpg,0.95,0.00,0.01,0.00,0.00,0.04
/archive/test/angry/PrivateTest_27275324.jpg,0.02,0.00,0.01,0.31,0.00,0.66
/archive/test/angry/PrivateTest_27381014.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_27425934.jpg,0.02,0.00,0.11,0.87,0.00,0.01
/archive/test/angry/PrivateTest_27681985.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_27729759.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_2775163.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_27811265.jpg,0.14,0.07,0.01,0.00,0.00,0.79
/archive/test/angry/PrivateTest_28003761.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_28291041.jpg,0.00,0.63,0.00,0.00,0.00,0.37
/archive/test/angry/PrivateTest_28463343.jpg,0.07,0.00,0.21,0.64,0.00,0.09
/archive/test/angry/PrivateTest_28761796.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_2913776.jpg,0.00,0.00,0.10,0.10,0.00,0.80
/archive/test/angry/PrivateTest_29273805.jpg,0.01,0.00,0.75,0.04,0.00,0.21
/archive/test/angry/PrivateTest_29624948.jpg,0.79,0.00,0.00,0.08,0.00,0.14
/archive/test/angry/PrivateTest_29626348.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_29669680.jpg,0.02,0.00,0.00,0.86,0.00,0.12
/archive/test/angry/PrivateTest_29755784.jpg,0.06,0.00,0.00,0.94,0.00,0.00
/archive/test/angry/PrivateTest_30069587.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_30620747.jpg,0.00,0.00,0.00,0.60,0.01,0.38
/archive/test/angry/PrivateTest_30802398.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_30853783.jpg,0.01,0.00,0.00,0.98,0.00,0.02
/archive/test/angry/PrivateTest_31013095.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_31103368.jpg,0.02,0.00,0.00,0.98,0.00,0.00
/archive/test/angry/PrivateTest_31265438.jpg,0.00,0.00,0.00,0.85,0.00,0.14
/archive/test/angry/PrivateTest_31352702.jpg,0.00,0.00,0.07,0.74,0.00,0.18
/archive/test/angry/PrivateTest_31554607.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_31560766.jpg,0.03,0.00,0.01,0.95,0.00,0.02
/archive/test/angry/PrivateTest_32282421.jpg,0.17,0.00,0.78,0.01,0.00,0.05
/archive/test/angry/PrivateTest_32298306.jpg,0.00,0.02,0.16,0.28,0.26,0.27
/archive/test/angry/PrivateTest_33031857.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_3309033.jpg,0.01,0.01,0.68,0.13,0.01,0.17
/archive/test/angry/PrivateTest_33237326.jpg,0.26,0.00,0.51,0.18,0.00,0.04
/archive/test/angry/PrivateTest_33363783.jpg,0.00,0.00,0.00,0.91,0.00,0.09
/archive/test/angry/PrivateTest_33469617.jpg,0.01,0.02,0.37,0.41,0.02,0.16
/archive/test/angry/PrivateTest_33585800.jpg,0.00,0.00,0.00,0.00,0.00,0.99
/archive/test/angry/PrivateTest_33643985.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_33725180.jpg,0.00,0.07,0.53,0.13,0.11,0.16
/archive/test/angry/PrivateTest_33746988.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_33861977.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_33951605.jpg,0.49,0.00,0.01,0.49,0.00,0.00
/archive/test/angry/PrivateTest_3411628.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_35186407.jpg,0.11,0.00,0.00,0.00,0.00,0.89
/archive/test/angry/PrivateTest_35198928.jpg,0.02,0.00,0.43,0.33,0.00,0.22
/archive/test/angry/PrivateTest_35600895.jpg,0.48,0.00,0.03,0.10,0.00,0.39
/archive/test/angry/PrivateTest_35694338.jpg,0.01,0.00,0.83,0.06,0.00,0.10
/archive/test/angry/PrivateTest_35759444.jpg,0.02,0.00,0.00,0.98,0.00,0.00
/archive/test/angry/PrivateTest_36424712.jpg,0.99,0.00,0.01,0.00,0.00,0.00
/archive/test/angry/PrivateTest_36922838.jpg,0.00,0.00,0.00,0.95,0.00,0.05
/archive/test/angry/PrivateTest_36962979.jpg,0.62,0.00,0.36,0.00,0.00,0.02
/archive/test/angry/PrivateTest_37179185.jpg,0.00,0.04,0.55,0.17,0.07,0.16
/archive/test/angry/PrivateTest_37308382.jpg,0.02,0.00,0.38,0.47,0.00,0.13
/archive/test/angry/PrivateTest_37336573.jpg,0.07,0.06,0.00,0.00,0.00,0.86
/archive/test/angry/PrivateTest_37530605.jpg,0.01,0.00,0.18,0.03,0.00,0.78
/archive/test/angry/PrivateTest_37547773.jpg,0.00,0.00,0.00,0.12,0.04,0.84
/archive/test/angry/PrivateTest_37577558.jpg,0.04,0.00,0.65,0.00,0.00,0.30
/archive/test/angry/PrivateTest_37743545.jpg,0.18,0.00,0.03,0.78,0.00,0.02
/archive/test/angry/PrivateTest_37769125.jpg,0.00,0.00,0.01,0.97,0.00,0.01
/archive/test/angry/PrivateTest_37900016.jpg,0.01,0.00,0.91,0.00,0.00,0.08
/archive/test/angry/PrivateTest_38456003.jpg,0.00,0.00,0.00,0.86,0.00,0.14
/archive/test/angry/PrivateTest_38754185.jpg,0.93,0.00,0.00,0.07,0.00,0.00
/archive/test/angry/PrivateTest_38910565.jpg,0.00,0.00,0.14,0.31,0.01,0.54
/archive/test/angry/PrivateTest_38920534.jpg,0.02,0.00,0.01,0.97,0.00,0.00
/archive/test/angry/PrivateTest_38961013.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_39390808.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_39402661.jpg,0.00,0.00,0.00,0.98,0.00,0.02
/archive/test/angry/PrivateTest_39470132.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_39543592.jpg,0.23,0.00,0.00,0.09,0.00,0.68
/archive/test/angry/PrivateTest_39621454.jpg,0.03,0.00,0.02,0.94,0.00,0.01
/archive/test/angry/PrivateTest_39884579.jpg,0.03,0.00,0.32,0.44,0.00,0.22
/archive/test/angry/PrivateTest_40087698.jpg,0.00,0.00,0.00,0.75,0.00,0.25
/archive/test/angry/PrivateTest_40303500.jpg,0.43,0.00,0.57,0.00,0.00,0.00
/archive/test/angry/PrivateTest_40516774.jpg,0.02,0.00,0.00,0.98,0.00,0.00
/archive/test/angry/PrivateTest_41125468.jpg,0.00,0.00,0.01,0.78,0.00,0.21
/archive/test/angry/PrivateTest_4115089.jpg,0.07,0.00,0.73,0.05,0.00,0.15
/archive/test/angry/PrivateTest_41153916.jpg,0.00,0.00,0.00,0.92,0.00,0.08
/archive/test/angry/PrivateTest_41160347.jpg,0.78,0.00,0.10,0.11,0.00,0.00
/archive/test/angry/PrivateTest_41252401.jpg,0.00,0.00,0.00,0.85,0.00,0.15
/archive/test/angry/PrivateTest_4129990.jpg,0.00,0.00,0.00,0.50,0.00,0.50
/archive/test/angry/PrivateTest_41308674.jpg,0.00,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_4133015.jpg,0.00,0.00,0.00,0.61,0.01,0.38
/archive/test/angry/PrivateTest_41474527.jpg,0.06,0.00,0.59,0.32,0.00,0.04
/archive/test/angry/PrivateTest_41546093.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_41930252.jpg,0.00,0.00,0.00,0.54,0.01,0.45
/archive/test/angry/PrivateTest_42117104.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_42247290.jpg,0.82,0.00,0.00,0.02,0.00,0.16
/archive/test/angry/PrivateTest_42348080.jpg,0.02,0.00,0.00,0.98,0.00,0.00
/archive/test/angry/PrivateTest_42359647.jpg,0.00,0.00,0.00,0.00,0.00,1.00
/archive/test/angry/PrivateTest_43108598.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_43530807.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_43537573.jpg,0.00,0.00,0.00,0.90,0.00,0.10
/archive/test/angry/PrivateTest_43692546.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_44118054.jpg,0.00,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_44351620.jpg,0.21,0.00,0.32,0.32,0.00,0.15
/archive/test/angry/PrivateTest_44437242.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_44746016.jpg,0.06,0.00,0.06,0.87,0.00,0.02
/archive/test/angry/PrivateTest_44751991.jpg,0.01,0.01,0.77,0.05,0.01,0.15
/archive/test/angry/PrivateTest_44883021.jpg,0.04,0.00,0.94,0.01,0.00,0.01
/archive/test/angry/PrivateTest_44923343.jpg,0.01,0.06,0.43,0.11,0.02,0.37
/archive/test/angry/PrivateTest_45026818.jpg,0.03,0.00,0.81,0.03,0.00,0.13
/archive/test/angry/PrivateTest_45318466.jpg,0.00,0.00,0.00,0.03,0.00,0.97
/archive/test/angry/PrivateTest_45595830.jpg,0.05,0.00,0.24,0.65,0.00,0.06
/archive/test/angry/PrivateTest_45664220.jpg,0.02,0.00,0.03,0.09,0.00,0.86
/archive/test/angry/PrivateTest_45986528.jpg,0.00,0.00,0.05,0.27,0.00,0.67
/archive/test/angry/PrivateTest_46067064.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_46244877.jpg,0.00,0.00,0.00,0.43,0.01,0.56
/archive/test/angry/PrivateTest_46256137.jpg,0.97,0.00,0.00,0.01,0.00,0.02
/archive/test/angry/PrivateTest_46407735.jpg,0.01,0.00,0.00,0.98,0.00,0.01
/archive/test/angry/PrivateTest_46420872.jpg,0.01,0.00,0.80,0.10,0.00,0.09
/archive/test/angry/PrivateTest_46589085.jpg,0.28,0.00,0.09,0.26,0.00,0.37
/archive/test/angry/PrivateTest_46881419.jpg,0.01,0.00,0.73,0.04,0.00,0.23
/archive/test/angry/PrivateTest_4690573.jpg,0.64,0.00,0.00,0.36,0.00,0.00
/archive/test/angry/PrivateTest_46956721.jpg,0.96,0.00,0.00,0.00,0.00,0.04
/archive/test/angry/PrivateTest_47230287.jpg,0.00,0.00,0.30,0.04,0.00,0.65
/archive/test/angry/PrivateTest_47664873.jpg,0.01,0.00,0.09,0.62,0.00,0.28
/archive/test/angry/PrivateTest_47881235.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_48166716.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_48468437.jpg,0.65,0.00,0.00,0.33,0.00,0.02
/archive/test/angry/PrivateTest_48563390.jpg,0.00,0.00,0.00,0.00,0.00,1.00
/archive/test/angry/PrivateTest_48643898.jpg,0.05,0.00,0.00,0.95,0.00,0.00
/archive/test/angry/PrivateTest_48663603.jpg,0.01,0.32,0.01,0.06,0.00,0.60
/archive/test/angry/PrivateTest_48857929.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_48885767.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_48897228.jpg,0.01,0.00,0.01,0.98,0.00,0.00
/archive/test/angry/PrivateTest_48929571.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_49253639.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_49383844.jpg,0.01,0.00,0.47,0.32,0.00,0.20
/archive/test/angry/PrivateTest_50057556.jpg,0.00,0.00,0.00,0.89,0.00,0.10
/archive/test/angry/PrivateTest_50202544.jpg,0.00,0.00,0.01,0.22,0.00,0.76
/archive/test/angry/PrivateTest_50458423.jpg,0.01,0.34,0.04,0.18,0.05,0.38
/archive/test/angry/PrivateTest_50479717.jpg,0.00,0.00,0.00,0.97,0.00,0.03
/archive/test/angry/PrivateTest_50558991.jpg,0.03,0.00,0.44,0.37,0.00,0.16
/archive/test/angry/PrivateTest_50685265.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_50964645.jpg,0.07,0.00,0.25,0.57,0.00,0.11
/archive/test/angry/PrivateTest_51023332.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_51289612.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_51551462.jpg,0.00,0.00,0.06,0.56,0.11,0.27
/archive/test/angry/PrivateTest_51610150.jpg,0.08,0.00,0.79,0.10,0.00,0.03
/archive/test/angry/PrivateTest_51662301.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_51716447.jpg,0.07,0.00,0.81,0.08,0.00,0.05
/archive/test/angry/PrivateTest_51910300.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_5216477.jpg,0.03,0.00,0.00,0.97,0.00,0.00
/archive/test/angry/PrivateTest_52423878.jpg,0.01,0.00,0.83,0.03,0.00,0.13
/archive/test/angry/PrivateTest_52532461.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_52601919.jpg,0.82,0.00,0.00,0.11,0.00,0.07
/archive/test/angry/PrivateTest_52838636.jpg,0.07,0.00,0.52,0.38,0.00,0.03
/archive/test/angry/PrivateTest_52922759.jpg,0.47,0.00,0.00,0.52,0.00,0.00
/archive/test/angry/PrivateTest_53657743.jpg,0.06,0.00,0.00,0.93,0.00,0.01
/archive/test/angry/PrivateTest_53931951.jpg,0.98,0.00,0.00,0.02,0.00,0.00
/archive/test/angry/PrivateTest_54071578.jpg,0.00,0.00,0.00,0.00,0.00,1.00
/archive/test/angry/PrivateTest_54096394.jpg,0.01,0.00,0.01,0.98,0.00,0.01
/archive/test/angry/PrivateTest_54106900.jpg,0.03,0.00,0.00,0.97,0.00,0.00
/archive/test/angry/PrivateTest_54204181.jpg,0.20,0.00,0.03,0.00,0.00,0.76
/archive/test/angry/PrivateTest_54388384.jpg,0.00,0.00,0.11,0.57,0.00,0.32
/archive/test/angry/PrivateTest_54624150.jpg,0.01,0.00,0.11,0.39,0.00,0.49
/archive/test/angry/PrivateTest_55564530.jpg,0.95,0.01,0.00,0.00,0.00,0.04
/archive/test/angry/PrivateTest_55732114.jpg,0.03,0.00,0.00,0.97,0.00,0.00
/archive/test/angry/PrivateTest_55949412.jpg,0.01,0.01,0.42,0.12,0.00,0.44
/archive/test/angry/PrivateTest_55964197.jpg,0.03,0.00,0.33,0.60,0.00,0.04
/archive/test/angry/PrivateTest_55994277.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_56252993.jpg,0.04,0.01,0.03,0.44,0.00,0.48
/archive/test/angry/PrivateTest_56303739.jpg,0.03,0.00,0.12,0.80,0.00,0.05
/archive/test/angry/PrivateTest_56445474.jpg,0.02,0.00,0.03,0.93,0.00,0.01
/archive/test/angry/PrivateTest_56780735.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_56782878.jpg,0.00,0.00,0.01,0.64,0.00,0.35
/archive/test/angry/PrivateTest_56890397.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_57176772.jpg,0.00,0.00,0.07,0.35,0.03,0.55
/archive/test/angry/PrivateTest_57926270.jpg,0.02,0.00,0.77,0.01,0.00,0.19
/archive/test/angry/PrivateTest_57931479.jpg,0.03,0.00,0.21,0.00,0.00,0.75
/archive/test/angry/PrivateTest_58001197.jpg,0.36,0.00,0.00,0.64,0.00,0.00
/archive/test/angry/PrivateTest_58143145.jpg,0.04,0.00,0.00,0.96,0.00,0.00
/archive/test/angry/PrivateTest_58466317.jpg,0.15,0.00,0.00,0.85,0.00,0.00
/archive/test/angry/PrivateTest_58505191.jpg,0.01,0.00,0.42,0.37,0.02,0.19
/archive/test/angry/PrivateTest_58992250.jpg,0.02,0.00,0.00,0.97,0.00,0.00
/archive/test/angry/PrivateTest_59389857.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_59490446.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_59863633.jpg,0.00,0.00,0.00,0.36,0.33,0.31
/archive/test/angry/PrivateTest_59881597.jpg,0.00,0.00,0.03,0.34,0.00,0.63
/archive/test/angry/PrivateTest_60004785.jpg,0.05,0.00,0.34,0.00,0.00,0.60
/archive/test/angry/PrivateTest_60168295.jpg,0.00,0.00,0.01,0.26,0.00,0.73
/archive/test/angry/PrivateTest_60331811.jpg,0.00,0.00,0.00,0.97,0.00,0.03
/archive/test/angry/PrivateTest_60498147.jpg,0.01,0.00,0.68,0.13,0.01,0.17
/archive/test/angry/PrivateTest_6097367.jpg,0.01,0.15,0.33,0.18,0.03,0.29
/archive/test/angry/PrivateTest_60990713.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_61043821.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_61094135.jpg,0.00,0.00,0.00,0.89,0.00,0.11
/archive/test/angry/PrivateTest_61118112.jpg,0.01,0.89,0.00,0.00,0.00,0.10
/archive/test/angry/PrivateTest_61683353.jpg,0.00,0.00,0.00,0.96,0.00,0.04
/archive/test/angry/PrivateTest_61911448.jpg,0.01,0.00,0.59,0.02,0.00,0.37
/archive/test/angry/PrivateTest_61945193.jpg,0.01,0.03,0.25,0.15,0.02,0.53
/archive/test/angry/PrivateTest_62009733.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_62018710.jpg,0.06,0.00,0.00,0.94,0.00,0.00
/archive/test/angry/PrivateTest_62042844.jpg,0.00,0.09,0.46,0.15,0.15,0.14
/archive/test/angry/PrivateTest_62105894.jpg,0.04,0.00,0.00,0.89,0.00,0.06
/archive/test/angry/PrivateTest_62110213.jpg,0.00,0.00,0.07,0.56,0.01,0.36
/archive/test/angry/PrivateTest_62257937.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_62268762.jpg,0.00,0.00,0.00,0.42,0.00,0.58
/archive/test/angry/PrivateTest_62338980.jpg,0.00,0.00,0.00,1.00,0.00,0.00
